Current (Our) Label,NCBI Taxdump closest fuzzy-match label,Edit distance,NCBI Taxonomy number,Manual checking,Current accepted name,
thermocarboxydus,Streptomyces thermocarboxydus,0,59299,CORRECT,,
thermocoprophilus,Streptomyces thermocoprophilus,0,78356,CORRECT,,
thermodiastaticus,Streptomyces thermodiastaticus,0,44061,CORRECT,,
thermodiastaticus,Streptomyces thermodiastaticus,0,44061,CORRECT,,
thermolineatus,Streptomyces thermolineatus,0,44033,CORRECT,,
thermophila,Spirochaeta thermophila,0,154,CORRECT,,
thermosulfidooxidans,Sulfobacillus thermosulfidooxidans,0,28034,CORRECT,,
thermovialaceus,Streptomyces thermoviolaceus,1,1952,CORRECT,,
thermovulgaris,Streptomyces thermovulgaris,0,1934,CORRECT,,
thioluteus,Streptomyces thioluteus,0,66431,CORRECT,,
Streptobacillus moniliforrnis,Streptobacillus moniliformis,2,34105,CORRECT,,
Streptococcus bovis,Streptococcus ovis,1,82806,CORRECT,,
Streptococcus pyagenes,Streptococcus pyogenes,1,1314,CORRECT,,
Streptomyces hafnanensis,Streptomyces hainanensis,1,402648,CORRECT,,
trueperi,Sphingomonas trueperi,0,53317,CORRECT,,
tubercidicus,Streptomyces tubercidicus,0,47759,CORRECT,,
tuirus,Streptomyces tuirus,0,68278,CORRECT,,
turgidiscabies,Streptomyces turgidiscabies,0,85558,CORRECT,,
uberis,Streptococcus parauberis,0,1348,CORRECT,,
Sugiyamaella smfthiae,Sugiyamaella smithiae,1,54095,CORRECT,,
Suifitobacier medfterraneus,Sulfitobacter mediterraneus,3,83219,CORRECT,,
Sulfitobacter brevfs,Sulfitobacter brevis,1,74348,CORRECT,,
Sulfitobacter medilerraneus,Sulfitobacter mediterraneus,1,83219,CORRECT,,
Sulfitobacter ponliacus,Sulfitobacter pontiacus,1,60137,CORRECT,,
Sulfurfmonas denirrfficans,Sulfurimonas denitrificans,3,39766,CORRECT,,
Suliitobacter pontiacus,Sulfitobacter pontiacus,1,60137,CORRECT,,
Sumtobacter dubius,Sulfitobacter dubius,3,218673,CORRECT,,
Sumtobacter mediterraneus,Sulfitobacter mediterraneus,3,83219,CORRECT,,
ureilytica,Serratia ureilytica,0,300181,CORRECT,,
Sutterella wadsworihensis,Sutterella wadsworthensis,1,40545,CORRECT,,
Suttorzella indologenes,Suttonella indologenes,2,13276,CORRECT,,
varsoviensis,Streptomyces varsoviensis,0,67373,CORRECT,,
venezuelae,Streptomyces venezuelae,0,54571,CORRECT,,
vfolarus,Streptomyces violarus,1,67380,CORRECT,,
violaceochromogenes,Streptosporangium violaceochromogenes,0,46188,CORRECT,,
violaceusniger,Streptomyces violaceusniger,0,68280,CORRECT,,
violarus,Streptomyces violarus,0,67380,CORRECT,,
virginiae,Streptomyces virginiae,0,1961,CORRECT,,
viridialbum,Sphaerisporangium viridialbum,0,46189,CORRECT,,
viridobrunneus,Streptomyces viridobrunneus,0,284041,CORRECT,,
warneri,Staphylococcus warneri,0,1292,CORRECT,,
woodyi,Shewanella woodyi,0,60961,CORRECT,,
xanrhophaeus,Streptomyces xanthophaeus,1,67385,CORRECT,,
xinghaiensis,Streptomyces xinghaiensis,0,1038928,CORRECT,,
yanglinensis,Streptomyces yanglinensis,0,310779,CORRECT,,
yatensis,Streptomyces yatensis,0,155177,CORRECT,,
yeochonensis,Streptomyces yeochonensis,0,89050,CORRECT,,
yeochonensis,Streptomyces yeochonensis,0,89050,CORRECT,,
Synechocoocus elongatus,Synechococcus elongatus PCC 7942,1,1140,CORRECT,,
yogyakartensis,Streptomyces yogyakartensis,0,114692,CORRECT,,
Szllfizrospirillzrm deleyianum,Sulfurospirillum deleyianum,6,65553,CORRECT,,
Tausonia pamirfca,Tausonia pamirica,1,415705,CORRECT,,
Telluria mlxta,Telluria mixta,1,34071,CORRECT,,
Telrasphaera australiensis,Tetrasphaera australiensis,1,99480,CORRECT,,
Tenabacter tumescens,Terrabacter tumescens,2,60443,CORRECT,,
Tenacibaculum marftimum,Tenacibaculum maritimum,1,107401,CORRECT,,
Tenacibaculum marilimum,Tenacibaculum maritimum,1,107401,CORRECT,,
Tenacibaculum mesophilurn,Tenacibaculum mesophilum,2,104268,CORRECT,,
Tenacibaculum mesophllum,Tenacibaculum mesophilum,1,104268,CORRECT,,
Tenacibaculum mesopmrum,Tenacibaculum mesophilum,3,104268,CORRECT,,
Tenacibaculum ovolyricum,Tenacibaculum ovolyticum,1,104270,CORRECT,,
Tenacibaculurn skagerrakense,Tenacibaculum skagerrakense,2,186571,CORRECT,,
Tenacibuculum lulimuris,Tenacibaculum lutimaris,3,285258,CORRECT,,
Tenacibuculum mesophilum,Tenacibaculum mesophilum,1,104268,CORRECT,,
Tenuibacillus multlvorans,Tenuibacillus multivorans,1,237069,CORRECT,,
Teredfnibacter turnerae,Teredinibacter turnerae,1,2426,CORRECT,,
Terribacillus saccharophllus,Terribacillus saccharophilus,1,361277,CORRECT,,
Terrimonas fermginea,Terrimonas ferruginea,2,249,CORRECT,,
Terrinznnax lutea,Terrimonas lutea,4,296052,CORRECT,,
Terrlbaclllus halophilus,Terribacillus halophilus,2,361279,CORRECT,,
Terzucibaculum amylolylicum,Tenacibaculum amylolyticum,4,104269,CORRECT,,
Tetrasphaera australiensfs,Tetrasphaera australiensis,1,99480,CORRECT,,
Tetrasphaera elongate,Tetrasphaera elongata,1,101689,CORRECT,,
Thennus aquaticus,Thermus aquaticus,2,271,CORRECT,,
Thermacoccus stetteri,Thermococcus stetteri,1,49900,CORRECT,,
Thermoanaerobacterlum thermosulfurlgenes,Thermoanaerobacterium thermosulfurigenes,2,33950,CORRECT,,
Thermoanaerobactermm xylanolyticum,Thermoanaerobacterium xylanolyticum,2,29329,CORRECT,,
Thermoblspora bispora,Thermobispora bispora,1,2006,CORRECT,,
Thermobrachlum cehere,Thermobrachium celere,2,53422,CORRECT,,
Thermocaccus siculi,Thermococcus siculi,1,72803,CORRECT,,
Thermococcus kodakaraensis,Thermococcus kodakarensis KOD1,1,69014,CORRECT,,
Thermoleophllum album,Thermoleophilum album,1,29539,CORRECT,,
Thermophilic archaeon,hyperthermophilic archaeon G1-H,1,41291,CORRECT,,
Thermotoga hypogea,Pseudothermotoga hypogea,1,57487,CORRECT,,
Thermotoga maritime,Thermotoga maritima,1,2336,CORRECT,,
Thermotoga thermarum,Pseudothermotoga thermarum,1,119394,CORRECT,,
Thermus ashimai,Thermus oshimai,1,56957,CORRECT,,
Thermus scoroductus,Thermus scotoductus,1,37636,CORRECT,,
Thioalkalivibrio denitriricans,Thioalkalivibrio denitrificans,1,108003,CORRECT,,
Thiobacillus denitriffcans,Thiobacillus denitrificans,1,36861,CORRECT,,
Thiocoocus pfennigii,Thiococcus pfennigii,1,1057,CORRECT,,
Thioreductor mfcantisoli,Thioreductor micantisoli,1,269253,CORRECT,,
Thiorhadovibrio winogradskyi,Thiorhodovibrio winogradskyi,1,77007,CORRECT,,
Thiorhodococcus drewsiii,Thiorhodococcus drewsii,1,210408,CORRECT,,
Thiorhodoooccus kakinadensis,Thiorhodococcus kakinadensis,1,390879,CORRECT,,
Tindallla magadiensis,Tindallia magadiensis,1,69895,CORRECT,,
Tmkalimonas amylolytica,Alkalimonas amylolytica,2,152573,CORRECT,,
Tolumanas auensis,Tolumonas auensis,1,43948,CORRECT,,
Treponema refringensi,Treponema refringens,1,174922,CORRECT,,
Treponema vincentif,Treponema vincentii,1,69710,CORRECT,,
Tropheryma whippelii,Tropheryma whipplei,2,2039,CORRECT,,
Tsukamuella inchonensis,Tsukamurella inchonensis,1,42777,CORRECT,,
Tsukamurella tyrosinosalvens,Tsukamurella tyrosinosolvens,1,57704,CORRECT,,
Ureaglasma urealyticum,Ureaplasma urealyticum,1,2130,CORRECT,,
Uruburuella suls,Uruburuella suis,1,252130,CORRECT,,
Veillonella criteci,Veillonella criceti,2,103891,CORRECT,,
Vfrgibacillus olivae,Virgibacillus olivae,1,340172,CORRECT,,
Vibrin alginnlyticus,Vibrio alginolyticus,2,663,CORRECT,,
Vibrio alginalyticus,Vibrio alginolyticus,1,663,CORRECT,,
Vibrio calviensis,Enterovibrio calviensis,1,91359,CORRECT,,
Vibrio chalerae,Vibrio cholerae,1,666,CORRECT,,
Vibrio ischeri,Vibrio fischeri ES114,1,312309,CORRECT,,
Vibrio logei,Aliivibrio logei,1,688,CORRECT,,
Vibrio parahaemalyticus,Vibrio parahaemolyticus,1,670,CORRECT,,
Vibrio salmonicida,Aliivibrio salmonicida,1,40269,CORRECT,,
Vibrio wodanis,Aliivibrio wodanis,1,80852,CORRECT,,
Vibriu diazotraphicus,Vibrio diazotrophicus,2,685,CORRECT,,
Virgibacfllus necropolis,Virgibacillus necropolis,1,163877,CORRECT,,
Virgibacillus cannonensis,Virgibacillus carmonensis,2,171692,CORRECT,,
Virgibacillus halodenitrilicans,Virgibacillus halodenitrificans,1,1482,CORRECT,,
Virgibacillus mansmortui,Virgibacillus marismortui,2,79660,CORRECT,,
Virgibacillus marismoitui,Virgibacillus marismortui,1,79660,CORRECT,,
Virgibacillus marismorfui,Virgibacillus marismortui,1,79660,CORRECT,,
Virgibacillus proomli,Virgibacillus proomii,1,84407,CORRECT,,
Virgosporangium ochraceum,Virgisporangium ochraceum,1,65505,CORRECT,,
Viridibacillus anli,Viridibacillus neidei,2,101059,CORRECT,,
Virldlbacillus arvi,Viridibacillus arvi,2,263475,CORRECT,,
Vlrgibacillus proomii,Virgibacillus proomii,1,84407,CORRECT,,
Vltellibacter vladivostokensis,Vitellibacter vladivostokensis,1,171194,CORRECT,,
Volucribacter psittaclclda,Volucribacter psittacicida,2,203482,CORRECT,,
v  psittacicida,Volucribacter psittacicida,2,203482,CORRECT,,
Weeksella virusa,Weeksella virosa,1,1014,CORRECT,,
Welssella viridescens,Weissella viridescens,1,1629,CORRECT,,
Winagradskyella thalassocola,Winogradskyella thalassocola,1,262004,CORRECT,,
Winogradskyella thalassocala,Winogradskyella thalassocola,1,262004,CORRECT,,
Wonomuraea aegyptiaf,Nonomuraea aegyptia,2,411670,CORRECT,,
Woodsholea maritime,Woodsholea maritima,1,240237,CORRECT,,
Xanthobacter kvus,Xanthobacter viscosus,2,110,CORRECT,,
Xanthomonas campeslris,Xanthomonas campestris,1,339,CORRECT,,
Xanthomonas transluscens,Xanthomonas translucens,1,343,CORRECT,,
Xanthophyllomyces dendrolhous,Xanthophyllomyces dendrorhous,1,5421,CORRECT,,
Xylanomonas cellulosilytica,Xylanimonas cellulosilytica,1,186189,CORRECT,,
Xylaphilus ampelinus,Xylophilus ampelinus,1,54067,CORRECT,,
Xylella fastidinsa,Xylella fastidiosa,1,2371,CORRECT,,
Yangfa pacifica,Yangia pacifica,1,311180,CORRECT,,
Yania halotolerans,Nesterenkonia halotolerans,2,225325,CORRECT,,
Yaniella fodinae,Shewanella fodinae,2,552357,CORRECT,,
Zabellia galactanivorans,Zobellia galactanivorans,1,63186,CORRECT,,
Zobeilia galactanivorans,Zobellia galactanivorans,1,63186,CORRECT,,
Zobelliu gulactunivorans,Zobellia galactanivorans,3,63186,CORRECT,,
Zymobacter paimae,Zymobacter palmae,1,33074,CORRECT,,
Slrobasidium intermedium,Sirobasidium intermedium,1,89935,CORRECT,,
marcescens,Serratia marcescens,0,615,CORRECT,,
morhuae,Shewanella morhuae,0,365591,CORRECT,,
Stella hurnosa,Stella humosa,2,94,CORRECT,,
Prevotella tannerae,Alloprevotella tannerae,1,76122,CORRECT,,
Actmopolyspora halophfla,Actinopolyspora halophila,3,1850,CORRECT,,
Aequorivita amarclica,Aequorivita antarctica,3,153266,CORRECT,,
Aeromanas salinonicida,Aeromonas salmonicida,3,645,CORRECT,,
Algoriphagus hftonlcala,Algoriphagus hitonicola,3,435880,CORRECT,,
Alteromzmax macleodii,Alteromonas macleodii,3,28108,CORRECT,,
Aquimurirla muelleri,Aquimarina muelleri,3,279356,CORRECT,,
Bacillus sporvthennodurans,Bacillus sporothermodurans,3,46224,CORRECT,,
Candida amphixiae,Candida amphicis,3,271310,CORRECT,,
Carnobacteriurn dfvergens,Carnobacterium divergens,3,2748,CORRECT,,
Clostridfum herbivarans,[Clostridium] herbivorans,3,39479,CORRECT,,
Clostridfum hyhemonae,[Clostridium] hylemonae,3,89153,CORRECT,,
Clostridfum neopropionfcum,[Clostridium] neopropionicum,3,36847,CORRECT,,
Clostridium papymsolvens,[Clostridium] papyrosolvens,3,29362,CORRECT,,
Clostridium proteoclasticum,Clostridium proteolyticum,3,29365,CORRECT,,
Clostridium thermocelmm,Ruminiclostridium thermocellum,3,1515,CORRECT,,
Clostridlum proteolyllcum,Clostridium proteolyticum,3,29365,CORRECT,,
Colwellia psychremhraea,Colwellia psychrerythraea,3,28229,CORRECT,,
Cryptococcus heveanensis,Cryptococcus taeanensis,3,1390387,CORRECT,,
Cryptotnbhosporon anacardii,Cryptotrichosporon anacardii,3,268180,CORRECT,,
Curtobacterium ginsengisoli,Microbacterium ginsengisoli,3,400772,CORRECT,,
Cytophaga arvensicola,Chitinophaga arvensicola,3,29529,CORRECT,,
Demema terragena,Demetria terragena,3,63959,CORRECT,,
Desulfbbulbus pmpionicus,Desulfobulbus propionicus,3,894,CORRECT,,
Desulfomusa hansenii,Desulfofaba hansenii,3,157842,CORRECT,,
Desulfovibrio swfodlsmutans,Desulfovibrio sulfodismutans,3,63561,CORRECT,,
Epimhonimonas lactis,Epilithonimonas lactis,3,421072,CORRECT,,
Geobacillus pallidus,Aeribacillus pallidus,3,33936,CORRECT,,
Gillisia illusmlutea,Gillisia illustrilutea,3,291192,CORRECT,,
Goodfellowia coeruleoviolacea,Goodfellowiella coeruleoviolacea,3,334858,CORRECT,,
Gramella pomvictoriae,Gramella portivictoriae,3,326069,CORRECT,,
Hexfthrix dorotheas,Flexithrix dorotheae,3,70993,CORRECT,,
Hydrogenophaga pseudwava,Hydrogenophaga pseudoflava,3,47421,CORRECT,,
Hymenobacter nonzvichensis,Hymenobacter norwichensis,3,223903,CORRECT,,
Lutezpulveratus mongollensls,Luteipulveratus mongoliensis,3,571913,CORRECT,,
Manchromatlum gracile,Marichromatium gracile,3,1048,CORRECT,,
Mesofhizqbium giceri,Mesorhizobium ciceri,3,39645,CORRECT,,
Methylabacterium aminavarans,Methylobacterium aminovorans,3,269069,CORRECT,,
Natronococcus amylwytfcus,Natronococcus amylolyticus,3,44470,CORRECT,,
Omithinicoocus hortensis,Ornithinicoccus hortensis,3,82346,CORRECT,,
Pamdibacter propionicfgenes,Paludibacter propionicigenes,3,185300,CORRECT,,
Pedobacter clyoconltls,Pedobacter cryoconitis,3,188932,CORRECT,,
Pedomicrobium fusiforme,Filomicrobium fusiforme,3,66850,CORRECT,,
Phaeospimlum fulvum,Phaeospirillum fulvum,3,1082,CORRECT,,
Polaribacter mamentus,Polaribacter filamentus,3,53483,CORRECT,,
Protefniphflum acelatigenes,Proteiniphilum acetatigenes,3,294710,CORRECT,,
Pseudoalteromnnas carmgeenovora,Pseudoalteromonas carrageenovora,3,227,CORRECT,,
Psychrwexus torquis,Psychroflexus torquis,3,57029,CORRECT,,
Reichenbachia agariperforans,Reichenbachiella agariperforans,3,156994,CORRECT,,
Rhadosplrlllum rubrum,Rhodospirillum rubrum,3,1085,CORRECT,,
Rhodathalasslum salexlgens,Rhodothalassium salexigens,3,1086,CORRECT,,
Rhodobium marinum,Rhodovulum marinum,3,320662,CORRECT,,
Roseobacter gallaeciensis,Phaeobacter gallaeciensis,3,60890,CORRECT,,
Salinlbacillus aidengensls,Salinibacillus aidingensis,3,237684,CORRECT,,
Alkallbaclllus haloalkallphllus,Alkalibacillus haloalkaliphilus,4,94136,CORRECT,,
Anhrobacter globifonnis,Arthrobacter globiformis,4,1665,CORRECT,,
Chilmophaga lerrae,'Chitinophaga terrae' An et al. 2007,4,398039,CORRECT,,
Cyclobacteriurn marinurn,Cyclobacterium marinum,4,104,CORRECT,,
Cytophaga alvensicola,Chitinophaga arvensicola,4,29529,CORRECT,,
Perexihbacter aurannacus,Perexilibacter aurantiacus,4,406515,CORRECT,,
Quadricoccus australiensis,Quatrionicoccus australiensis,4,138118,CORRECT,,
Raseobacter denitrzficarzs,Roseobacter denitrificans,4,2434,CORRECT,,
Reiohenbachia agariperforans,Reichenbachiella agariperforans,4,156994,CORRECT,,
Salipiger mucescens,Salipiger mucosus,4,263378,CORRECT,,
Eggerthema slnenslls,Eggerthella sinensis,5,242230,CORRECT,,
Ketogulonogenium vulgarum,Ketogulonicigenium vulgare,5,92945,CORRECT,,
Reichenbachia aganperforans,Reichenbachiella agariperforans,5,156994,CORRECT,,
Donghaeana dokdonensis,Nonlabens dokdonensis,6,328515,CORRECT,,
Eggenwewa lenfa,Eggerthella lenta,6,84112,CORRECT,,
Planococcus stackebrandtii,Planomicrobium stackebrandtii,6,253160,CORRECT,,
Fltlvimlibllcier gilmengiterrue,Flavisolibacter ginsengiterrae,10,398045,CORRECT,,
Acidimicrobium clone,Acidimicrobium ferrooxidans,4,53635,DELETE,,
Bioleaching bacterium,butyrate-producing bacterium A2-207,6,105825,DELETE,,
Blastobotrys muscicola,Blastobotrys capitulata,6,44068,DELETE,,
Blastobotrys robertii,Blastobotrys mokoenaii,5,267478,DELETE,,
Brachybacterium strain,Brachybacterium rhamnosum,4,173361,DELETE,,
Candida cellulosicola,Candida cellulolytica,5,58623,DELETE,,
Candida qingdaonensis,Candida nodaensis,5,45572,DELETE,,
Candida transvaalensis,Kazachstania transvaalensis,3,36916,DELETE,,
Coniaminated aquifer,PAH-contaminated sludge bacterium PB-1,7,178902,DELETE,,
Contaminated aquifer,PAH-contaminated sludge bacterium PB-1,6,178902,DELETE,,
Dechlorinating consortium,PCB-dechlorinating bacterium OTU-1,7,282570,DELETE,,
Elbe river,Elbe River snow isolate Iso10neu,1,123690,DELETE,,
Eutrophic lake,Hydrophis lapemoides,5,8684,DELETE,,
Freshwater lake,Freshwater leech,2,195542,DELETE,,
Gradient clone,freshwater sediment clone ppC10rna,4,91593,DELETE,,
Halophilic bacterium,halophilic bacterium MBIC3303,1,77210,DELETE,,
Hot spring,uncultured hot spring bacterium GFP1,1,92880,DELETE,,
Human colonic,Human coronavirus 229E,3,11137,DELETE,,
Human intestinal,human intestinal spirochete,1,38795,DELETE,,
Hypersaline clone,hypersaline lake metagenome,4,904678,DELETE,,
Leptospira genomospecies,Roseomonas genomospecies 4,8,204528,DELETE,,
Leptotrichia oral,Leptotrichia trevisanii,3,109328,DELETE,,
Leptotrichia strain,Leptotrichia trevisanii,4,109328,DELETE,,
Marine bacterium,uncultured marine bacterium,1,56765,DELETE,,
Marine clone,eukaryote marine clone ANT12-10,1,162551,DELETE,,
Marine gammaproteobacterium,uncultured marine gamma proteobacterium MBE11,2,106904,DELETE,,
Marine psychrophile,marine psychrophile IC052,1,56801,DELETE,,
Marine sediment,marine sediment bacterium DGGE band a,1,133213,DELETE,,
Mouse colonic,Aoteapsyche colonica,4,177870,DELETE,,
Pandoraea genomospecies,Pandoraea genomosp. 2 str. ATCC BAA-108,4,1311785,DELETE,,
Peat bog,uncultured peat bog bacterium 24,1,62440,DELETE,,
Sea urchin,unidentified sea urchin,1,7679,DELETE,,
Soil isolate,soil isolate KBS-EC1,1,104612,DELETE,,
Ultramicrobacterium strain,ultramicrobacterium str. D-6,4,69281,DELETE,,
Verrucosispora strain,Verrucosispora maris AB-18-032,4,263358,DELETE,,
Termite gut,uncultured termite gut bacterium Cd10,1,69945,DELETE,,
Thermal soul,uncultured thermal soil bacterium,2,166499,DELETE,,
hawaiiensis,Metschnikowia hawaiiensis,0,27323,DELETE,unique taxon so just delete,
niger,Peptococcus niger,0,2741,DELETE,,
paraguayensis,Mylossoma paraguayensis,0,42523,DELETE,,
prasinus,Aulacorhynchus prasinus,0,57399,DELETE,,
regensis,Thiobacillus baregensis,0,54272,DELETE,,
roseolus,Flexibacter roseolus,0,1002,DELETE,,
rostri,Negaprion brevirostris,0,7821,DELETE,,
rubidus,Hyostrongylus rubidus,0,108470,DELETE,,
salmonis,Piscirickettsia salmonis,0,1238,DELETE,,
tauricus,Podarcis tauricus,0,64415,DELETE,,
viridiflavus,Hyperolius viridiflavus,0,39591,DELETE,,
Agromonas oligotrophica,Cellulomonas oligotrophica,3,931536,WRONG,Bradyrhizobium oligotrophicum,
Alcaligenes defragans,Alcaligenes hydrogenophilus,6,516,WRONG,Castellaniella defragrans,
Alcaligenes latus,Alcaligenes aquatilis,3,323284,WRONG,Azohydromonas lata,
Alisphingobium solum,Novosphingobium soli,5,574956,WRONG,Sphingosinicella soli,
Amoebobacter purpureus,Arthrobacter sulfureus,7,43666,WRONG,Lamprocystis purpurea,
Aquaspirillum gracile,Azospirillum brasilense,5,192,WRONG,Hylemonella gracilis,
Arthrabacter atrocyaneus,Arthrobacter aureus,7,49183,WRONG,Sinomonas atrocyanea,
Arthrobacter atrocyaneus,Arthrobacter aureus,6,49183,WRONG,Sinomonas atrocyanea,
Arthrobacter duodecadis,Arthrobacter koreensis,6,199136,WRONG,Tetrasphaera duodecadis,
Arxula adeninivorans,Desulfatiferula olefinivorans,5,396322,WRONG,Blastobotrys adeninivorans,
Arxula terrestris,Coelastrella terrestris,3,75803,WRONG,Blastobotrys terrestris,
Aspromonas composti,Cellulomonas composti,4,266130,WRONG,Arenimonas composti,
Asterotremella pseudolonga,'Asterotremella longa',6,181171,WRONG,Cryptococcus pseudolongus,
Bacillus tusciae,Bacillus luciferensis,3,178774,WRONG,Kyrpidia tusciae,
Bacteroides putredinis,Bacteroides graminisolvens,5,477666,WRONG,Alistipes putredinis,
Balneimonas flocculans,Rubritepida flocculans,9,182403,WRONG,Microvirga flocculans,
Blastobacter denitrificans,Roseobacter denitrificans,4,2434,WRONG,Bradyrhizobium denitrificans,
Blastobatrys peoriensis,Blastobotrys serpentis,5,456365,WRONG,Candida peoriensis,
Brevibacterium liquefaciens,Microbacterium liquefaciens,4,33918,WRONG,Arthrobacter nicotianae,
Candida chiropterorum,Candida choctaworum,5,246021,WRONG,Blastobotrys chiropterorum,
Candida marilandica,Candida thailandica,3,1323753,WRONG,Sugiyamaella marilandica,
Candida musae,Candida mesenterica,2,45568,WRONG,Candida fructus,
Candida novakii,Candida ovalis,3,51933,WRONG,Sugiyamaella novakii,
Candida peliata,Candida stellata,3,45594,WRONG,Nakazawaea peltata,
Candida petronuensis,Candida peoriensis,4,135455,WRONG,Middelhovenomyces petrohuensis,
Candida tepae,Candida theae,2,1198502,WRONG,Middelhovenomyces tepae,
Candida valdiviana,Apoplania valdiviana,3,173633,WRONG,Sugiyamaella valdiviana,
Cellulomonas fermentans,Cellulomonas iranensis,6,76862,WRONG,Actinotalea fermentans,
Cellulosimicrobium variabile,Cellulosimicrobium terreum,7,412439,WRONG,Isoptericola variabilis,
Chimaereicella alkaliphila,Microcella alkaliphila,7,279828,WRONG,Algoriphagus alkaliphilus,
Chimaereicella boritolerans,Chimaericola leptogaster,11,142782,WRONG,Algoriphagus boritolerans,
Chntseobacterium arothri,Chryseobacterium arthrosphaerae,4,651561,WRONG,Chryseobacterium hominis,
Chryseobaclerium meningaseplicum,Chryseobacterium hungaricum,9,454006,WRONG,Elizabethkingia meningoseptica,
Chryseobacterium meningosepticum,Chryseobacterium indoltheticum,8,254,WRONG,Elizabethkingia meningoseptica,
Clastridium hastybrme,Clostridium pasteurianum,6,1501,WRONG,Tissierella praeacuta,
Clostridium glycolicum,[Clostridium] colinum,5,36835,WRONG,Terrisporobacter glycolicus,
Clostridium hastiforme,Clostridium fusiformis,4,69833,WRONG,Tissierella praeacuta,
Cytophaga latercula,Rhodocytophaga aerolata,5,455078,WRONG,Aquimarina latercula,
Defluvibacter lusatiensis,Olivibacter sitiensis,7,376470,WRONG,Aquamicrobium lusatiense,
Deinococcus mumbaiensis,Deinococcus yunweiensis,4,367282,WRONG,Deinococcus ficus,
Desulfbvibrio baarsii,Desulfovibrio bastinii,4,47157,WRONG,Desulfarculus baarsii,
Desulfobacterium anilini,Desulfobacterium indolicum,5,90733,WRONG,Desulfatiglans anilini,
Desulfovibrio baarsii,Desulfovibrio bastinii,3,47157,WRONG,Desulfarculus baarsii,
Dickeya dieffenbachiae,Xanthomonas axonopodis pv. dieffenbachiae,6,92828,WRONG,Dickeya dadantii,
Dyella yeojuensis,Winogradskyella jejuensis,3,1089305,WRONG,Luteibacter yeojuensis,
Effluviibacter roseus,Melioribacter roseus,6,1134405,WRONG,Pontibacter roseus,
Ensifer arboris,Ensifera,5,6994,WRONG,Sinorhizobium arboris,
Ensifer fredii,Ensifer mexicanus,4,375549,WRONG,Sinorhizobium fredii,
Ensifer saheli,Ensifer mexicanus,4,375549,WRONG,Sinorhizobium saheli,
Ensifer terangae,Ensifer sesbaniae,4,1214071,WRONG,Sinorhizobium terengae,
Ensifer xinjiangensis,Nocardiopsis xinjiangensis,5,124285,WRONG,Sinorhizobium xinjiangensis,
Enterobacter amnigenus,Enterobacter aerogenes,4,548,WRONG,Lelliottia amnigena,
Enterobacter cowanli,Enterobacter cancerogenus,4,69218,WRONG,Kosakonia cowanii,
Enterobacter gergoviae,Enterobacter aerogenes,5,548,WRONG,Pluralibacter gergoviae,
Enterobacter helveticus,Campylobacter helveticus,5,28898,WRONG,Cronobacter helveticus,
Enterobacter nimipressuralis,Enterobacter nickellidurans,9,300182,WRONG,Lelliottia nimipressuralis,
Enterobacter pulveris,Franconibacter pulveris,5,435910,WRONG,Cronobacter pulveris,
Enterobacter pyrinus,Enterobacter sp. isolate #3,5,143022,WRONG,Pluralibacter pyrinus,
Enterobacter radlcincltans,Enterobacter massiliensis JC163,8,1095768,WRONG,Kosakonia radicincitans,
Enterobacter turicensis,Halanaerobacter jeridensis,5,706427,WRONG,Cronobacter turicensis sp.,
Enterobaoter cowanii,Enterobacter cancerogenus,5,69218,WRONG,Kosakonia cowanii,
Eubacterium cylindroides,Sinobacterium caligoides,6,933926,WRONG,Faecalitalea cylindroides,
Eubacterium plautii,Eubacterium pectinii,4,35784,WRONG,Flavonifractor plautii,
Ferrimonas sinisina,Ferrimonas sediminum,4,718193,WRONG,Ferrimonas senticii,
Flavobacterium ferrugineum,Flavobacterium frigidimaris,6,262320,WRONG,Terrimonas ferruginea,
Flavobacterium heparinum,Flavobacterium marinum,3,1159016,WRONG,Pedobacter heparinus,
Flexibacter aggregans,Flexibacter elegans,4,997,WRONG,Flexithrix dorotheae,
Flexibacter canadensis,Helicobacter canadensis,4,123841,WRONG,Solitalea canadensis,
Flexibacter dorotheae,Flexibacter roseolus,6,1002,WRONG,Flexithrix dorotheae,
Flexibacter filiformis,Methanobrevibacter filiformis,3,55758,WRONG,Chitinophaga filiformis,
Flexibacter sancti,Flexibacter maritimus-like bacterium S3C18,3,65677,WRONG,Chitinophaga sancti,
Flexibacter tractuosus,Flexibacter roseolus,6,1002,WRONG,Marivirga tractuosa,
Francisella novicida,Francisella cf. novicida Fx1,4,984129,WRONG,Francisella tularensis,
Frondicola australfcus,Pterastericola australis,7,39360,WRONG,Frondihabitans australicus,
Frondicola australicus,Pterastericola australis,6,39360,WRONG,Frondihabitans australicus,
Gaetbulimicrobium brevivitae,Methylomicrobium buryatense,12,95641,WRONG,Aquimarina brevivitae,
Gluconacelobacter xylinus,Gluconacetobacter liquefaciens,5,89584,WRONG,Komagataeibacter xylinus,
Gluconacetobacter hansenii,Gluconacetobacter entanii,4,108528,WRONG,Komagataeibacter hansenii,
Gluconacetobacter kombuchae,Gluconacetobacter sacchari,6,92759,WRONG,Komagataeibacter hansenii,
Gluconacetobacter nataicola,Gluconacetobacter tumulicola,5,1017177,WRONG,Komagataeibacter nataicola,
Gluconacetobacter saccharivorans,Gluconacetobacter sacchari,6,92759,WRONG,Komagataeibacter saccharivorans,
